Team  	  	Games  	 	AttPG  	 	CompPG  	 	Pct  	 	PassYds  	 	PassYPG  	 	PassTD  	 	Int  	 	Pass1stD  	 	Sack  	 	SackYdsL  	 	SackLng
DEN 	  	5  	 	20.6  	 	13.8  	 	67.0  	 	728  	 	145.6  	 	7  	 	4  	 	40  	 	9.0  	 	59  	 	46  	 
PIT 	  	5  	 	32.6  	 	16.8  	 	51.5  	 	815  	 	163.0  	 	3  	 	4  	 	42  	 	17.0  	 	113  	 	38  	 
MIA 	  	5  	 	23.6  	 	13.2  	 	55.9  	 	858  	 	171.6  	 	6  	 	3  	 	46  	 	7.0  	 	43  	 	54  	 
IND 	  	5  	 	29.8  	 	21.2  	 	71.1  	 	864  	 	172.8  	 	5  	 	6  	 	48  	 	9.0  	 	44  	 	48  	 
KAN 	  	5  	 	30.8  	 	18.2  	 	59.1  	 	872  	 	174.4  	 	3  	 	5  	 	47  	 	15.0  	 	111  	 	77  	 
NWE 	  	5  	 	32.0  	 	18.8  	 	58.8  	 	886  	 	177.2  	 	7  	 	8  	 	55  	 	14.0  	 	117  	 	36  	 
JAC 	  	4  	 	26.0  	 	16.0  	 	61.5  	 	713  	 	178.3  	 	2  	 	3  	 	37  	 	13.0  	 	66  	 	49  	 
WAS 	  	4  	 	37.3  	 	22.3  	 	59.7  	 	728  	 	182.0  	 	2  	 	4  	 	39  	 	13.0  	 	69  	 	33  	 
TAM 	  	5  	 	34.4  	 	21.6  	 	62.8  	 	947  	 	189.4  	 	5  	 	6  	 	53  	 	8.0  	 	59  	 	58  	 
TEN 	  	4  	 	39.0  	 	23.0  	 	59.0  	 	814  	 	203.5  	 	2  	 	7  	 	39  	 	8.0  	 	42  	 	47  	 
ATL 	  	5  	 	28.6  	 	18.2  	 	63.6  	 	1020  	 	204.0  	 	5  	 	4  	 	53  	 	8.0  	 	54  	 	60  	 
DAL 	  	5  	 	35.6  	 	20.8  	 	58.4  	 	1024  	 	204.8  	 	6  	 	10  	 	60  	 	12.0  	 	96  	 	60  	 
BAL 	  	5  	 	29.2  	 	17.0  	 	58.2  	 	1037  	 	207.4  	 	8  	 	4  	 	43  	 	9.0  	 	58  	 	78  	 
STL 	  	5  	 	28.0  	 	17.0  	 	60.7  	 	1050  	 	210.0  	 	7  	 	3  	 	52  	 	7.0  	 	57  	 	68  	 
HOU 	  	5  	 	32.2  	 	21.6  	 	67.1  	 	1066  	 	213.2  	 	6  	 	4  	 	56  	 	10.0  	 	70  	 	74  	 
SFO 	  	5  	 	32.8  	 	20.6  	 	62.8  	 	1068  	 	213.6  	 	5  	 	3  	 	57  	 	11.0  	 	57  	 	65  	 
SEA 	  	5  	 	33.4  	 	20.0  	 	59.9  	 	1075  	 	215.0  	 	3  	 	5  	 	53  	 	16.0  	 	110  	 	49  	 
ARI 	  	5  	 	35.8  	 	21.2  	 	59.2  	 	1089  	 	217.8  	 	7  	 	5  	 	59  	 	14.0  	 	105  	 	43  	 
NORR 	  	4  	 	22.8  	 	14.3  	 	62.6  	 	872  	 	218.0  	 	8  	 	2  	 	38  	 	1.0  	 	7  	 	69  	 
NYG 	  	5  	 	32.6  	 	19.2  	 	58.9  	 	1097  	 	219.4  	 	9  	 	5  	 	63  	 	17.0  	 	91  	 	51  	 
PHI 	  	4  	 	35.8  	 	20.5  	 	57.3  	 	898  	 	224.5  	 	4  	 	4  	 	44  	 	16.0  	 	98  	 	91  	 
OAK 	  	4  	 	32.8  	 	20.5  	 	62.6  	 	905  	 	226.3  	 	6  	 	8  	 	48  	 	7.0  	 	59  	 	35  	 
GNB 	  	5  	 	34.6  	 	19.6  	 	56.6  	 	1132  	 	226.4  	 	8  	 	5  	 	55  	 	12.0  	 	74  	 	40  	 
CAR 	  	5  	 	37.2  	 	23.4  	 	62.9  	 	1168  	 	233.6  	 	5  	 	2  	 	54  	 	2.0  	 	15  	 	69  	 
NYJ 	  	5  	 	30.4  	 	20.6  	 	67.8  	 	1198  	 	239.6  	 	9  	 	3  	 	65  	 	3.0  	 	22  	 	53  	 
CHI 	  	5  	 	32.6  	 	23.4  	 	71.8  	 	1230  	 	246.0  	 	7  	 	5  	 	59  	 	17.0  	 	105  	 	49  	 
SDGG 	  	5  	 	32.8  	 	21.0  	 	64.0  	 	1236  	 	247.2  	 	8  	 	5  	 	58  	 	10.0  	 	73  	 	57  	 
CIN 	  	4  	 	35.5  	 	22.8  	 	64.1  	 	1004  	 	251.0  	 	11  	 	6  	 	52  	 	4.0  	 	25  	 	42  	 
DET 	  	5  	 	36.8  	 	25.6  	 	69.6  	 	1318  	 	263.6  	 	10  	 	9  	 	67  	 	14.0  	 	102  	 	68  	 
MIN 	  	4  	 	40.5  	 	27.5  	 	67.9  	 	1067  	 	266.8  	 	5  	 	5  	 	60  	 	12.0  	 	75  	 	42  	 
CLE 	  	5  	 	38.0  	 	23.0  	 	60.5  	 	1335  	 	267.0  	 	15  	 	3  	 	72  	 	4.0  	 	25  	 	41  	 
BUF 	  	5  	 	38.2  	 	25.6  	 	67.0  	 	1439  	 	287.8  	 	9  	 	9  	 	76  	 	4.0  	 	18  	 	45
