Team  	  	Games  	 	Rush  	 	RushYds  	 	RushAvg  	 	RushPG  	 	RushYPG  	 	RushTD  	 	Rush1stD  	 	RushLng
MIN 	  	4  	 	100  	 	248  	 	2.5  	 	25.0  	 	62.0  	 	0  	 	15  	 	17  	 
BAL 	  	5  	 	113  	 	333  	 	2.9  	 	22.6  	 	66.6  	 	1  	 	17  	 	28  	 
TEN 	  	4  	 	77  	 	289  	 	3.8  	 	19.3  	 	72.3  	 	3  	 	19  	 	49  	 
PIT 	  	5  	 	98  	 	363  	 	3.7  	 	19.6  	 	72.6  	 	1  	 	21  	 	25  	 
NWE 	  	5  	 	102  	 	371  	 	3.6  	 	20.4  	 	74.2  	 	1  	 	23  	 	16  	 
PHI 	  	4  	 	88  	 	298  	 	3.4  	 	22.0  	 	74.5  	 	2  	 	15  	 	20  	 
DAL 	  	5  	 	111  	 	403  	 	3.6  	 	22.2  	 	80.6  	 	1  	 	21  	 	44  	 
WAS 	  	4  	 	89  	 	342  	 	3.8  	 	22.3  	 	85.5  	 	2  	 	20  	 	27  	 
HOU 	  	5  	 	119  	 	457  	 	3.8  	 	23.8  	 	91.4  	 	3  	 	24  	 	23  	 
SDGG 	  	5  	 	119  	 	464  	 	3.9  	 	23.8  	 	92.8  	 	2  	 	26  	 	37  	 
NYG 	  	5  	 	134  	 	476  	 	3.6  	 	26.8  	 	95.2  	 	5  	 	25  	 	38  	 
CHI 	  	5  	 	132  	 	494  	 	3.7  	 	26.4  	 	98.8  	 	4  	 	24  	 	54  	 
ARI 	  	5  	 	125  	 	505  	 	4.0  	 	25.0  	 	101.0  	 	3  	 	31  	 	37  	 
GNB 	  	5  	 	127  	 	507  	 	4.0  	 	25.4  	 	101.4  	 	1  	 	23  	 	55  	 
JAC 	  	4  	 	102  	 	421  	 	4.1  	 	25.5  	 	105.3  	 	3  	 	20  	 	42  	 
IND 	  	5  	 	125  	 	527  	 	4.2  	 	25.0  	 	105.4  	 	3  	 	35  	 	32  	 
NORR 	  	4  	 	123  	 	437  	 	3.6  	 	30.8  	 	109.3  	 	4  	 	25  	 	19  	 
CAR 	  	5  	 	146  	 	564  	 	3.9  	 	29.2  	 	112.8  	 	4  	 	36  	 	29  	 
DET 	  	5  	 	147  	 	575  	 	3.9  	 	29.4  	 	115.0  	 	7  	 	40  	 	25  	 
SEA 	  	5  	 	139  	 	578  	 	4.2  	 	27.8  	 	115.6  	 	4  	 	28  	 	45  	 
ATL 	  	5  	 	151  	 	606  	 	4.0  	 	30.2  	 	121.2  	 	2  	 	31  	 	29  	 
TAM 	  	5  	 	157  	 	620  	 	3.9  	 	31.4  	 	124.0  	 	4  	 	39  	 	22  	 
SFO 	  	5  	 	164  	 	621  	 	3.8  	 	32.8  	 	124.2  	 	2  	 	30  	 	39  	 
KAN 	  	5  	 	148  	 	628  	 	4.2  	 	29.6  	 	125.6  	 	3  	 	36  	 	52  	 
NYJ 	  	5  	 	161  	 	638  	 	4.0  	 	32.2  	 	127.6  	 	6  	 	41  	 	19  	 
OAK 	  	4  	 	98  	 	518  	 	5.3  	 	24.5  	 	129.5  	 	4  	 	25  	 	60  	 
BUF 	  	5  	 	144  	 	668  	 	4.6  	 	28.8  	 	133.6  	 	3  	 	38  	 	33  	 
STL 	  	5  	 	162  	 	730  	 	4.5  	 	32.4  	 	146.0  	 	8  	 	45  	 	43  	 
CIN 	  	4  	 	114  	 	608  	 	5.3  	 	28.5  	 	152.0  	 	3  	 	29  	 	66  	 
CLE 	  	5  	 	161  	 	787  	 	4.9  	 	32.2  	 	157.4  	 	1  	 	37  	 	37  	 
MIA 	  	5  	 	192  	 	871  	 	4.5  	 	38.4  	 	174.2  	 	8  	 	46  	 	48  	 
DEN 	  	5  	 	182  	 	938  	 	5.2  	 	36.4  	 	187.6  	 	6  	 	51  	 	74 
