First Last  	Team  	Games  	  	FG19  	FG29  	FG39  	FG49  	FG50  	FGM  	FGA  	Pct  	Lng  	 	XPM  	XPA  	Pct  	 	Pts
 Matt Stover 	BAL 	5 	  	0-0  	7-7  	2-2  	4-7  	0-0  	13  	16  	81.3  	49  	 	7  	7  	100.0  	 	46  	 
 Kris Brown 	HOU 	5 	  	1-1  	4-5  	3-3  	2-2  	3-3  	13  	14  	92.9  	57  	 	11  	11  	100.0  	 	50  	 
 Adam Vinatieri 	IND 	5 	  	0-0  	5-5  	6-7  	0-0  	0-0  	11  	12  	91.7  	39  	 	17  	19  	89.5  	 	50  	 
 Jay Feely 	MIA 	5 	  	0-0  	3-3  	5-5  	3-3  	0-0  	11  	11  	100.0  	48  	 	8  	8  	100.0  	 	41  	 
 Nick Folk 	DAL 	5 	  	0-0  	3-4  	3-3  	3-3  	1-1  	10  	11  	90.9  	53  	 	20  	20  	100.0  	 	50  	 
 Jeff Reed 	PIT 	5 	  	0-0  	2-2  	6-6  	1-1  	0-0  	9  	9  	100.0  	49  	 	15  	15  	100.0  	 	42  	 
 Neil Rackers 	ARI 	5 	  	0-0  	1-1  	2-3  	4-5  	2-4  	9  	13  	69.2  	52  	 	13  	13  	100.0  	 	40  	 
 Mason Crosby 	GNB 	5 	  	0-0  	2-2  	4-4  	2-3  	1-1  	9  	10  	90.0  	53  	 	14  	14  	100.0  	 	41  	 
 Jason Elam 	DEN 	5 	  	0-0  	5-5  	2-2  	2-4  	0-1  	9  	12  	75.0  	48  	 	6  	6  	100.0  	 	33  	 
 Jeff Wilkins 	STL 	5 	  	0-0  	4-5  	2-2  	2-4  	1-2  	9  	13  	69.2  	53  	 	5  	5  	100.0  	 	32  	 
 Robbie Gould 	CHI 	5 	  	0-0  	2-2  	2-2  	4-4  	0-1  	8  	9  	88.9  	49  	 	9  	9  	100.0  	 	33  	 
 Josh Brown 	SEA 	5 	  	0-0  	6-6  	1-1  	1-1  	0-0  	8  	8  	100.0  	46  	 	9  	9  	100.0  	 	33  	 
 Morten Andersen 	ATL 	3 	  	0-0  	5-5  	2-2  	1-3  	0-0  	8  	10  	80.0  	46  	 	5  	5  	100.0  	 	29  	 
 Jason Hanson 	DET 	5 	  	0-0  	1-1  	3-4  	3-5  	0-0  	7  	10  	70.0  	49  	 	12  	13  	92.3  	 	33  	 
 Rob Bironas 	TEN 	4 	  	0-0  	1-2  	5-5  	1-2  	0-0  	7  	9  	77.8  	40  	 	9  	9  	100.0  	 	30  	 
 Shayne Graham 	CIN 	4 	  	0-0  	3-3  	0-0  	4-4  	0-1  	7  	8  	87.5  	48  	 	9  	9  	100.0  	 	30  	 
 Stephen Gostkowski 	NWE 	5 	  	0-0  	5-5  	2-2  	0-1  	0-0  	7  	8  	87.5  	36  	 	23  	23  	100.0  	 	44  	 
 John Kasay 	CAR 	5 	  	0-0  	1-1  	3-3  	2-3  	1-1  	7  	8  	87.5  	52  	 	11  	11  	100.0  	 	32  	 
 Joe Nedney 	SFO 	5 	  	0-0  	1-1  	3-3  	2-2  	1-2  	7  	8  	87.5  	50  	 	6  	6  	100.0  	 	27  	 
 Shaun Suisham 	WAS 	4 	  	0-0  	1-1  	4-5  	2-3  	0-0  	7  	9  	77.8  	47  	 	8  	8  	100.0  	 	29  	 
 Phil Dawson 	CLE 	5 	  	1-1  	2-2  	2-2  	2-3  	0-0  	7  	8  	87.5  	42  	 	15  	15  	100.0  	 	36  	 
 David Akers 	PHI 	4 	  	0-0  	3-3  	2-2  	1-2  	1-1  	7  	8  	87.5  	53  	 	9  	9  	100.0  	 	30  	 
 Lawrence Tynes 	NYG 	5 	  	0-0  	2-2  	2-4  	3-3  	0-0  	7  	9  	77.8  	48  	 	12  	13  	92.3  	 	33  	 
 Dave Rayner 	KAN 	4 	  	0-0  	2-2  	1-2  	3-4  	0-0  	6  	8  	75.0  	49  	 	6  	6  	100.0  	 	24  	 
 Matt Bryant 	TAM 	5 	  	0-0  	3-3  	3-3  	0-0  	0-1  	6  	7  	85.7  	38  	 	11  	11  	100.0  	 	29  	 
 Nate Kaeding 	SDGG 	5 	  	0-0  	2-2  	1-2  	2-2  	1-1  	6  	7  	85.7  	51  	 	13  	13  	100.0  	 	31  	 
 Ryan Longwell 	MIN 	4 	  	0-0  	1-1  	2-2  	3-3  	0-1  	6  	7  	85.7  	49  	 	7  	7  	100.0  	 	25  	 
 John Carney 	JAC 	3 	  	2-2  	3-3  	1-1  	0-1  	0-0  	6  	7  	85.7  	35  	 	5  	5  	100.0  	 	23  	 
 Sebastian Janikowski 	OAK 	4 	  	0-0  	2-2  	2-2  	1-2  	0-3  	5  	9  	55.6  	48  	 	11  	11  	100.0  	 	26  	 
 Mike Nugent 	NYJ 	4 	  	0-0  	2-2  	0-0  	1-2  	1-2  	4  	6  	66.7  	50  	 	10  	10  	100.0  	 	22  	 
 Olindo Mare 	NORR 	4 	  	0-0  	2-3  	1-2  	0-0  	0-2  	3  	7  	42.9  	34  	 	6  	6  	100.0  	 	15  	 
 Rian Lindell 	BUF 	4 	  	0-0  	2-2  	0-0  	0-1  	0-1  	2  	4  	50.0  	24  	 	6  	6  	100.0  	 	12  	 
 Matt Prater 	ATL 	2 	  	0-0  	0-1  	0-0  	1-3  	0-0  	1  	4  	25.0  	45  	 	1  	1  	100.0  	 	4  	 
 Justin Medlock 	KAN 	1 	  	0-0  	1-1  	0-1  	0-0  	0-0  	1  	2  	50.0  	27  	 	0  	0  	0.0  	 	3  	 
 Josh Scobee 	JAC 	1 	  	0-0  	1-1  	0-0  	0-0  	0-0  	1  	1  	100.0  	22  	 	1  	1  	100.0  	 	4 
