First Last  	Team  	Games  	  	Rec  	RecYds  	RecYPG  	RecAvg  	RecLng  	YAC  	Rec1stD  	RecTD  	 	KR  	KRYds  	KRAvg  	KRLong  	KRTD  	 	PR  	PRYds  	PRAvg  	PRLong  	PRTD  	 	Fum  	FumL
 Randy Moss 	NWE 	5 	  	34  	551  	110.2  	16.2  	51  	3.3  	25  	7  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Chad Johnson 	CIN 	4 	  	28  	495  	123.8  	17.7  	39  	3.8  	27  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Braylon Edwards 	CLE 	5 	  	24  	485  	97.0  	20.2  	78  	4.5  	18  	4  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	1  	 
 Larry Fitzgerald 	ARI 	5 	  	34  	448  	89.6  	13.2  	40  	3.1  	19  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	2  	2  	 
 Roy Williams 	DET 	5 	  	29  	424  	84.8  	14.6  	91  	7.2  	17  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	2  	1  	 
 Plaxico Burress 	NYG 	5 	  	24  	410  	82.0  	17.1  	60  	6.6  	17  	7  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Terrell Owens 	DAL 	5 	  	21  	387  	77.4  	18.4  	47  	4.6  	19  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Donald Driver 	GNB 	5 	  	31  	374  	74.8  	12.1  	46  	5.9  	17  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Derrick Mason 	BAL 	5 	  	44  	372  	74.4  	8.5  	18  	3.0  	23  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Dwayne Bowe 	KAN 	5 	  	22  	369  	73.8  	16.8  	51  	5.0  	19  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Reggie Wayne 	IND 	5 	  	28  	369  	73.8  	13.2  	64  	3.0  	20  	4  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	1  	 
 Brandon Marshall 	DEN 	5 	  	27  	362  	72.4  	13.4  	49  	5.3  	18  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	1  	 
 Steve Smith 	CAR 	5 	  	25  	360  	72.0  	14.4  	74  	8.2  	14  	5  	 	0  	0  	0.0  	0  	0  	 	1  	6  	6.0  	6  	0  	 	0  	0  	 
 T.J. Houshmandzadeh 	CIN 	4 	  	39  	360  	90.0  	9.2  	35  	1.7  	20  	5  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	1  	 
 Roddy White 	ATL 	5 	  	21  	356  	71.2  	17.0  	69  	7.1  	13  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	0  	 
 Torry Holt 	STL 	5 	  	28  	351  	70.2  	12.5  	34  	2.0  	20  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	2  	1  	 
