Name  	Team  	G  	  	Rush  	Yds  	Y/G  	Avg  	TD  	 	Rec  	Yds  	Y/G  	Avg  	Lng  	YAC  	1stD  	TD  	 	Fum  	FumL  	 
 Willie Parker 	PIT 	5 	  	121  	507  	101.4  	4.2  	1  	 	8  	43  	8.6  	5.4  	12  	5.1  	2  	0  	 	2  	1  	 
 Travis Henry 	DEN 	5 	  	102  	498  	99.6  	4.9  	1  	 	5  	52  	10.4  	10.4  	21  	12.2  	2  	0  	 	1  	0  	 
 Willis McGahee 	BAL 	5 	  	102  	464  	92.8  	4.5  	0  	 	18  	143  	28.6  	7.9  	30  	10.4  	7  	1  	 	0  	0  	 
 Edgerrin James 	ARI 	5 	  	107  	442  	88.4  	4.1  	3  	 	7  	68  	13.6  	9.7  	15  	9.4  	4  	0  	 	3  	0  	 
 Ronnie Brown 	MIA 	5 	  	83  	425  	85.0  	5.1  	4  	 	25  	287  	57.4  	11.5  	43  	11.5  	14  	1  	 	0  	0  	 
 LaMont Jordan 	OAK 	4 	  	84  	424  	106.0  	5.0  	2  	 	12  	128  	32.0  	10.7  	27  	10.4  	7  	0  	 	0  	0  	 
 Derrick Ward 	NYG 	5 	  	86  	409  	81.8  	4.8  	1  	 	20  	122  	24.4  	6.1  	12  	7.0  	6  	1  	 	0  	0  	 
 Joseph Addai 	IND 	4 	  	84  	407  	101.8  	4.8  	5  	 	11  	60  	15.0  	5.5  	14  	5.3  	2  	0  	 	0  	0  	 
 Adrian Peterson 	MIN 	4 	  	76  	383  	95.8  	5.0  	1  	 	9  	166  	41.5  	18.4  	60  	19.1  	6  	1  	 	1  	1  	 
 Jamal Lewis 	CLE 	5 	  	77  	382  	76.4  	5.0  	2  	 	4  	33  	6.6  	8.3  	15  	7.0  	1  	0  	 	2  	1  	 
 Shaun Alexander 	SEA 	5 	  	102  	378  	75.6  	3.7  	2  	 	10  	37  	7.4  	3.7  	12  	3.1  	2  	0  	 	1  	0  	 
 Sammy Morris 	NWE 	5 	  	75  	370  	74.0  	4.9  	3  	 	6  	35  	7.0  	5.8  	18  	4.8  	1  	0  	 	0  	0  	 
 DeShaun Foster 	CAR 	5 	  	80  	361  	72.2  	4.5  	1  	 	10  	66  	13.2  	6.6  	13  	4.4  	2  	1  	 	4  	3  	 
 Marion Barber III 	DAL 	5 	  	56  	334  	66.8  	6.0  	4  	 	12  	112  	22.4  	9.3  	29  	8.4  	5  	1  	 	0  	0  	 
 LaDainian Tomlinson 	SDG 	5 	  	98  	329  	65.8  	3.4  	2  	 	22  	194  	38.8  	8.8  	36  	11.3  	9  	1  	 	0  	0  	 
 Frank Gore 	SFO 	5 	  	84  	306  	61.2  	3.6  	3  	 	11  	102  	20.4  	9.3  	22  	9.5  	4  	0  	 	2  	1  	 
 Cedric Benson 	CHI 	5 	  	101  	303  	60.6  	3.0  	2  	 	9  	57  	11.4  	6.3  	11  	8.0  	1  	0  	 	3  	2  	 
 Clinton Portis 	WAS 	4 	  	66  	299  	74.8  	4.5  	3  	 	9  	63  	15.8  	7.0  	22  	8.0  	5  	0  	 	2  	1  	 
 Marshawn Lynch 	BUF 	4 	  	77  	294  	73.5  	3.8  	2  	 	7  	68  	17.0  	9.7  	23  	10.6  	4  	0  	 	0  	0  	 
 Brian Westbrook 	PHI 	3 	  	51  	291  	97.0  	5.7  	2  	 	19  	223  	74.3  	11.7  	47  	12.4  	7  	1  	 	0  	0  	 
 Larry Johnson 	KAN 	5 	  	84  	275  	55.0  	3.3  	0  	 	19  	99  	19.8  	5.2  	15  	7.3  	5  	0  	 	0  	0  	 
 Chris Brown 	TEN 	4 	  	52  	274  	68.5  	5.3  	1  	 	8  	30  	7.5  	3.8  	8  	4.5  	3  	0  	 	0  	0  	 
 Justin Fargas 	OAK 	4 	  	43  	261  	65.3  	6.1  	0  	 	1  	7  	1.8  	7.0  	7  	8.0  	1  	0  	 	0  	0  	 
 Kenton Keith 	IND 	5 	  	51  	255  	51.0  	5.0  	2  	 	7  	39  	7.8  	5.6  	14  	5.1  	2  	0  	 	1  	0  	 
 Thomas Jones 	NYJ 	4 	  	76  	255  	63.8  	3.4  	0  	 	7  	41  	10.3  	5.9  	21  	7.0  	2  	0  	 	1  	0  	 
 Laurence Maroney 	NWE 	3 	  	54  	252  	84.0  	4.7  	0  	 	0  	0  	0.0  	0.0  	0  	0.0  	0  	0  	 	0  	0  	 
 Warrick Dunn 	ATL 	5 	  	74  	249  	49.8  	3.4  	1  	 	15  	64  	12.8  	4.3  	12  	3.5  	1  	0  	 	1  	1  	 
 Steven Jackson 	STL 	3 	  	69  	233  	77.7  	3.4  	0  	 	8  	57  	19.0  	7.1  	20  	8.6  	4  	0  	 	3  	2  	 
 Julius Jones 	DAL 	5 	  	63  	217  	43.4  	3.4  	1  	 	5  	75  	15.0  	15.0  	24  	15.6  	4  	0  	 	0  	0  	 
 LenDale White 	TEN 	4 	  	62  	212  	53.0  	3.4  	2  	 	3  	17  	4.3  	5.7  	10  	8.0  	1  	0  	 	2  	2  	 
 Najeh Davenport 	PIT 	5 	  	28  	209  	41.8  	7.5  	3  	 	7  	66  	13.2  	9.4  	17  	7.4  	2  	0  	 	0  	0  	 
 Carnell Williams 	TAM 	4 	  	54  	208  	52.0  	3.9  	3  	 	3  	17  	4.3  	5.7  	8  	5.7  	0  	0  	 	2  	2  	 
 Fred Taylor 	JAC 	4 	  	55  	207  	51.8  	3.8  	0  	 	2  	20  	5.0  	10.0  	11  	10.0  	1  	0  	 	0  	0  	 
