 Name  	Team  	G  	  	Rec  	Yds  	Y/G  	Avg  	Lng  	YAC  	1stD  	TD  	 	Rush  	Yds  	Y/G  	Avg  	TD  	 	Fum  	FumL  	 
 Antonio Gates 	SDG 	5 	  	40  	489  	97.8  	12.2  	34  	3.7  	27  	3  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Kellen Winslow 	CLE 	5 	  	24  	416  	83.2  	17.3  	49  	5.7  	17  	2  	 	0  	0  	0.0  	0.0  	0  	 	1  	1  	 
 Jason Witten 	DAL 	5 	  	29  	407  	81.4  	14.0  	38  	3.7  	22  	4  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Tony Gonzalez 	KAN 	5 	  	29  	338  	67.6  	11.7  	26  	3.2  	17  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Dallas Clark 	IND 	5 	  	26  	300  	60.0  	11.5  	39  	3.3  	17  	5  	 	1  	14  	2.8  	14.0  	0  	 	0  	0  	 
 Owen Daniels 	HOU 	5 	  	24  	293  	58.6  	12.2  	24  	3.7  	17  	0  	 	0  	0  	0.0  	0.0  	0  	 	1  	1  	 
 Heath Miller 	PIT 	5 	  	17  	241  	48.2  	14.2  	29  	6.6  	12  	2  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Desmond Clark 	CHI 	5 	  	19  	231  	46.2  	12.2  	52  	5.1  	8  	2  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Jeremy Shockey 	NYG 	5 	  	18  	230  	46.0  	12.8  	27  	6.3  	13  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Todd Heap 	BAL 	4 	  	19  	201  	50.3  	10.6  	37  	3.8  	11  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Donald Lee 	GNB 	5 	  	19  	195  	39.0  	10.3  	27  	4.3  	10  	1  	 	0  	0  	0.0  	0.0  	0  	 	1  	1  	 
 Alge Crumpler 	ATL 	5 	  	18  	194  	38.8  	10.8  	35  	7.1  	10  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Benjamin Watson 	NWE 	5 	  	17  	194  	38.8  	11.4  	35  	4.1  	11  	5  	 	1  	11  	2.2  	11.0  	0  	 	0  	0  	 
 Jeff King 	CAR 	5 	  	16  	177  	35.4  	11.1  	29  	4.0  	10  	1  	 	0  	0  	0.0  	0.0  	0  	 	1  	0  	 
 Randy McMichael 	STL 	5 	  	12  	146  	29.2  	12.2  	29  	5.6  	8  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Marcedes Lewis 	JAC 	4 	  	12  	131  	32.8  	10.9  	25  	4.4  	5  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Eric Johnson 	NOR 	4 	  	21  	128  	32.0  	6.1  	9  	3.3  	6  	0  	 	0  	0  	0.0  	0.0  	0  	 	1  	0  	 
 Alex Smith 	TAM 	5 	  	13  	118  	23.6  	9.1  	33  	2.8  	8  	2  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Visanthe Shiancoe 	MIN 	4 	  	9  	107  	26.8  	11.9  	25  	4.4  	5  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Marcus Pollard 	SEA 	5 	  	10  	98  	19.6  	9.8  	22  	4.1  	4  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Sean McHugh 	DET 	5 	  	7  	98  	19.6  	14.0  	32  	7.0  	6  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Kris Wilson 	KAN 	5 	  	11  	98  	19.6  	8.9  	31  	6.0  	4  	0  	 	0  	0  	0.0  	0.0  	0  	 	1  	1  	 
 Bubba Franks 	GNB 	5 	  	14  	90  	18.0  	6.4  	12  	2.6  	5  	2  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Chris Baker 	NYJ 	4 	  	7  	88  	22.0  	12.6  	18  	3.1  	7  	2  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Greg Olsen 	CHI 	3 	  	6  	85  	28.3  	14.2  	27  	3.8  	3  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Vernon Davis 	SFO 	3 	  	8  	83  	27.7  	10.4  	31  	7.1  	4  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Chris Cooley 	WAS 	4 	  	10  	80  	20.0  	8.0  	16  	3.6  	7  	3  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Quinn Sypniewski 	BAL 	5 	  	12  	80  	16.0  	6.7  	13  	3.8  	4  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Daniel Graham 	DEN 	5 	  	10  	78  	15.6  	7.8  	15  	4.6  	3  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 John Madsen 	OAK 	4 	  	5  	71  	17.8  	14.2  	39  	7.0  	3  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 David Martin 	MIA 	5 	  	9  	71  	14.2  	7.9  	14  	2.3  	4  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Ben Utecht 	IND 	4 	  	7  	70  	17.5  	10.0  	20  	2.9  	4  	0  	 	0  	0  	0.0  	0.0  	0  	 	1  	0  	 
 Greg Estandia 	JAC 	4 	  	5  	67  	16.8  	13.4  	23  	2.4  	3  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Reggie Kelly 	CIN 	4 	  	5  	66  	16.5  	13.2  	21  	2.2  	2  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Justin Peelle 	MIA 	5 	  	7  	65  	13.0  	9.3  	35  	7.6  	4  	2  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Bryan Fletcher 	IND 	5 	  	4  	58  	11.6  	14.5  	21  	3.3  	3  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Leonard Pope 	ARI 	5 	  	5  	57  	11.4  	11.4  	30  	3.2  	2  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Bo Scaife 	TEN 	4 	  	7  	55  	13.8  	7.9  	21  	1.1  	4  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Zach Miller 	OAK 	4 	  	7  	54  	13.5  	7.7  	13  	3.1  	3  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Robert Royal 	BUF 	4 	  	6  	51  	12.8  	8.5  	18  	6.8  	2  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Steve Heiden 	CLE 	5 	  	5  	41  	8.2  	8.2  	27  	3.4  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Matt Schobel 	PHI 	4 	  	4  	40  	10.0  	10.0  	12  	1.5  	3  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Tony Scheffler 	DEN 	5 	  	2  	37  	7.4  	18.5  	19  	3.0  	2  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Nate Jackson 	DEN 	5 	  	3  	34  	6.8  	11.3  	24  	2.7  	2  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 George Wrighster 	JAC 	4 	  	4  	32  	8.0  	8.0  	18  	6.3  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Anthony Fasano 	DAL 	5 	  	4  	31  	6.2  	7.8  	14  	0.3  	2  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Brent Celek 	PHI 	4 	  	3  	31  	7.8  	10.3  	15  	1.0  	2  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Jeb Putzier 	HOU 	5 	  	4  	27  	5.4  	6.8  	11  	2.3  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Kyle Brady 	NWE 	5 	  	2  	27  	5.4  	13.5  	20  	2.5  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 L.J. Smith 	PHI 	2 	  	4  	26  	13.0  	6.5  	10  	2.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Delanie Walker 	SFO 	5 	  	4  	26  	5.2  	6.5  	13  	4.5  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Michael Gaines 	BUF 	3 	  	4  	25  	8.3  	6.3  	14  	4.3  	2  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Jeff Dugan 	MIN 	4 	  	2  	24  	6.0  	12.0  	13  	5.0  	1  	0  	 	1  	3  	0.8  	3.0  	0  	 	1  	1  	 
 Daniel Coats 	CIN 	4 	  	3  	23  	5.8  	7.7  	10  	4.3  	2  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Ben Troupe 	TEN 	4 	  	2  	22  	5.5  	11.0  	13  	11.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Troy Bienemann 	ARI 	5 	  	3  	19  	3.8  	6.3  	7  	1.3  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Dwayne Blakley 	ATL 	2 	  	2  	18  	9.0  	9.0  	10  	5.5  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Todd Yoder 	WAS 	4 	  	1  	18  	4.5  	18.0  	18  	15.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Michael Matthews 	NYG 	5 	  	3  	16  	3.2  	5.3  	6  	4.3  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Martrez Milner 	ATL 	4 	  	3  	15  	3.8  	5.0  	7  	0.7  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Matt Spaeth 	PIT 	3 	  	3  	15  	5.0  	5.0  	9  	3.0  	3  	2  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Casey FitzSimmons 	DET 	5 	  	2  	14  	2.8  	7.0  	10  	5.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Jerramy Stevens 	TAM 	5 	  	2  	14  	2.8  	7.0  	9  	3.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Ryan Neufeld 	BUF 	4 	  	2  	14  	3.5  	7.0  	8  	5.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Aaron Walker 	STL 	4 	  	2  	13  	3.3  	6.5  	8  	4.5  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Will Heller 	SEA 	5 	  	2  	12  	2.4  	6.0  	13  	5.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 David Thomas 	NWE 	2 	  	1  	9  	4.5  	9.0  	9  	2.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Richard Owens 	STL 	3 	  	1  	9  	3.0  	9.0  	9  	7.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Jerame Tuman 	PIT 	5 	  	1  	9  	1.8  	9.0  	9  	0.0  	1  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Ben Hartsock 	TEN 	4 	  	2  	9  	2.3  	4.5  	7  	1.5  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Christian Fauria 	CAR 	4 	  	1  	8  	2.0  	8.0  	8  	3.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Darnell Dinkins 	CLE 	5 	  	1  	8  	1.6  	8.0  	8  	3.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 John Gilmore 	CHI 	5 	  	1  	7  	1.4  	7.0  	7  	3.0  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Jim Kleinsasser 	MIN 	4 	  	1  	4  	1.0  	4.0  	4  	1.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 John Owens 	NOR 	4 	  	1  	4  	1.0  	4.0  	4  	3.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Brandon Manumaleuna 	SDG 	5 	  	1  	4  	0.8  	4.0  	4  	3.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Kevin Everett 	BUF 	1 	  	1  	3  	3.0  	3.0  	3  	0.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Tony Curtis 	DAL 	5 	  	1  	2  	0.4  	2.0  	2  	0.0  	1  	1  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Daniel Wilcox 	BAL 	2 	  	1  	2  	1.0  	2.0  	2  	0.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
 Dan Campbell 	DET 	2 	  	1  	1  	0.5  	1.0  	1  	1.0  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 
