 Team  	  	G  	 	Rush  	 	RushYds  	 	Avg  	 	Rush/G  	 	RushYds/G  	 	TD  	 	1stD  	 	Lng  	 
Minnesota Vikings 	  	4  	 	100  	 	248  	 	2.5  	 	25.0  	 	62.0  	 	0  	 	15  	 	17  	 
Baltimore Ravens 	  	5  	 	113  	 	333  	 	2.9  	 	22.6  	 	66.6  	 	1  	 	17  	 	28  	 
Tennessee Titans 	  	4  	 	77  	 	289  	 	3.8  	 	19.3  	 	72.3  	 	3  	 	19  	 	49  	 
Pittsburgh Steelers 	  	5  	 	98  	 	363  	 	3.7  	 	19.6  	 	72.6  	 	1  	 	21  	 	25  	 
New England Patriots 	  	5  	 	102  	 	371  	 	3.6  	 	20.4  	 	74.2  	 	1  	 	23  	 	16  	 
Philadelphia Eagles 	  	4  	 	88  	 	298  	 	3.4  	 	22.0  	 	74.5  	 	2  	 	15  	 	20  	 
Dallas Cowboys 	  	5  	 	111  	 	403  	 	3.6  	 	22.2  	 	80.6  	 	1  	 	21  	 	44  	 
Washington Redskins 	  	4  	 	89  	 	342  	 	3.8  	 	22.3  	 	85.5  	 	2  	 	20  	 	27  	 
Houston Texans 	  	5  	 	119  	 	457  	 	3.8  	 	23.8  	 	91.4  	 	3  	 	24  	 	23  	 
San Diego Chargers 	  	5  	 	119  	 	464  	 	3.9  	 	23.8  	 	92.8  	 	2  	 	26  	 	37  	 
New York Giants 	  	5  	 	134  	 	476  	 	3.6  	 	26.8  	 	95.2  	 	5  	 	25  	 	38  	 
Chicago Bears 	  	5  	 	132  	 	494  	 	3.7  	 	26.4  	 	98.8  	 	4  	 	24  	 	54  	 
Arizona Cardinals 	  	5  	 	125  	 	505  	 	4.0  	 	25.0  	 	101.0  	 	3  	 	31  	 	37  	 
Green Bay Packers 	  	5  	 	127  	 	507  	 	4.0  	 	25.4  	 	101.4  	 	1  	 	23  	 	55  	 
Jacksonville Jaguars 	  	4  	 	102  	 	421  	 	4.1  	 	25.5  	 	105.3  	 	3  	 	20  	 	42  	 
Indianapolis Colts 	  	5  	 	125  	 	527  	 	4.2  	 	25.0  	 	105.4  	 	3  	 	35  	 	32  	 
New Orleans Saints 	  	4  	 	123  	 	437  	 	3.6  	 	30.8  	 	109.3  	 	4  	 	25  	 	19  	 
Carolina Panthers 	  	5  	 	146  	 	564  	 	3.9  	 	29.2  	 	112.8  	 	4  	 	36  	 	29  	 
Detroit Lions 	  	5  	 	147  	 	575  	 	3.9  	 	29.4  	 	115.0  	 	7  	 	40  	 	25  	 
Seattle Seahawks 	  	5  	 	139  	 	578  	 	4.2  	 	27.8  	 	115.6  	 	4  	 	28  	 	45  	 
Atlanta Falcons 	  	5  	 	151  	 	606  	 	4.0  	 	30.2  	 	121.2  	 	2  	 	31  	 	29  	 
Tampa Bay Buccaneers 	  	5  	 	157  	 	620  	 	3.9  	 	31.4  	 	124.0  	 	4  	 	39  	 	22  	 
San Francisco 49ers 	  	5  	 	164  	 	621  	 	3.8  	 	32.8  	 	124.2  	 	2  	 	30  	 	39  	 
Kansas City Chiefs 	  	5  	 	148  	 	628  	 	4.2  	 	29.6  	 	125.6  	 	3  	 	36  	 	52  	 
New York Jets 	  	5  	 	161  	 	638  	 	4.0  	 	32.2  	 	127.6  	 	6  	 	41  	 	19  	 
Oakland Raiders 	  	4  	 	98  	 	518  	 	5.3  	 	24.5  	 	129.5  	 	4  	 	25  	 	60  	 
Buffalo Bills 	  	5  	 	144  	 	668  	 	4.6  	 	28.8  	 	133.6  	 	3  	 	38  	 	33  	 
St. Louis Rams 	  	5  	 	162  	 	730  	 	4.5  	 	32.4  	 	146.0  	 	8  	 	45  	 	43  	 
Cincinnati Bengals 	  	4  	 	114  	 	608  	 	5.3  	 	28.5  	 	152.0  	 	3  	 	29  	 	66  	 
Cleveland Browns 	  	5  	 	161  	 	787  	 	4.9  	 	32.2  	 	157.4  	 	1  	 	37  	 	37  	 
Miami Dolphins 	  	5  	 	192  	 	871  	 	4.5  	 	38.4  	 	174.2  	 	8  	 	46  	 	48  	 
Denver Broncos 	  	5  	 	182  	 	938  	 	5.2  	 	36.4  	 	187.6  	 	6  	 	51  	 	74 
