Name  	Team  	G  	  	QBRat  	Comp  	Att  	Pct  	Yds  	Y/G  	Y/A  	TD  	Int  	 	Rush  	Yds  	Y/G  	Avg  	TD  	 	Sack  	YdsL  	 	Fum  	FumL  	 
 Tom Brady 	NWE 	5 	  	128.7  	117  	158  	74.1  	1383  	276.6  	8.8  	16  	2  	 	5  	6  	1.2  	1.2  	0  	 	3  	19  	 	2  	1  	 
 Jake Delhomme 	CAR 	3 	  	111.9  	55  	86  	64.0  	626  	208.7  	7.3  	8  	1  	 	6  	26  	8.7  	4.3  	0  	 	5  	46  	 	1  	0  	 
 Peyton Manning 	IND 	5 	  	108.6  	115  	165  	69.7  	1319  	263.8  	8.0  	10  	2  	 	7  	-7  	-1.4  	-1.0  	1  	 	3  	15  	 	0  	0  	 
 David Garrard 	JAC 	4 	  	105.4  	68  	102  	66.7  	848  	212.0  	8.3  	4  	0  	 	25  	108  	27.0  	4.3  	0  	 	14  	59  	 	2  	1  	 
 Brodie Croyle 	KAN 	2 	  	104.5  	10  	17  	58.8  	138  	69.0  	8.1  	1  	0  	 	0  	0  	0.0  	0.0  	0  	 	2  	8  	 	1  	0  	 
 Jeff Garcia 	TAM 	5 	  	103.6  	76  	113  	67.3  	914  	182.8  	8.1  	4  	0  	 	11  	29  	5.8  	2.6  	1  	 	5  	27  	 	1  	0  	 
 Kurt Warner 	ARI 	3 	  	102.3  	43  	69  	62.3  	580  	193.3  	8.4  	4  	1  	 	4  	0  	0.0  	0.0  	1  	 	1  	6  	 	2  	1  	 
 Daunte Culpepper 	OAK 	2 	  	100.3  	13  	26  	50.0  	193  	96.5  	7.4  	2  	0  	 	7  	28  	14.0  	4.0  	3  	 	2  	16  	 	0  	0  	 
 Ben Roethlisberger 	PIT 	5 	  	99.2  	81  	131  	61.8  	1013  	202.6  	7.7  	9  	3  	 	8  	57  	11.4  	7.1  	0  	 	11  	89  	 	3  	1  	 
 Matt Moore 	CAR 	1 	  	95.8  	1  	2  	50.0  	43  	43.0  	21.5  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	0  	0  	 	0  	0  	 
 Matt Schaub 	HOU 	5 	  	95.5  	111  	157  	70.7  	1299  	259.8  	8.3  	5  	4  	 	12  	32  	6.4  	2.7  	0  	 	8  	63  	 	5  	2  	 
 Brett Favre 	GNB 	5 	  	94.7  	141  	210  	67.1  	1527  	305.4  	7.3  	9  	4  	 	9  	-2  	-0.4  	-0.2  	0  	 	9  	54  	 	2  	2  	 
 Tony Romo 	DAL 	5 	  	93.9  	101  	171  	59.1  	1508  	301.6  	8.8  	13  	8  	 	12  	78  	15.6  	6.5  	2  	 	6  	46  	 	1  	1  	 
 Jon Kitna 	DET 	5 	  	93.2  	114  	167  	68.3  	1333  	266.6  	8.0  	8  	6  	 	12  	31  	6.2  	2.6  	0  	 	25  	136  	 	8  	3  	 
 Brooks Bollinger 	MIN 	1 	  	91.7  	3  	4  	75.0  	26  	26.0  	6.5  	0  	0  	 	1  	0  	0.0  	0.0  	0  	 	1  	2  	 	1  	1  	 
 Matt Hasselbeck 	SEA 	5 	  	90.5  	99  	155  	63.9  	1148  	229.6  	7.4  	7  	4  	 	10  	1  	0.2  	0.1  	0  	 	9  	45  	 	1  	1  	 
 Carson Palmer 	CIN 	4 	  	90.4  	101  	160  	63.1  	1171  	292.8  	7.3  	10  	6  	 	6  	9  	2.3  	1.5  	0  	 	5  	42  	 	0  	0  	 
 Chad Pennington 	NYJ 	3 	  	89.6  	52  	79  	65.8  	520  	173.3  	6.6  	5  	3  	 	7  	8  	2.7  	1.1  	1  	 	6  	46  	 	0  	0  	 
 Kerry Collins 	TEN 	2 	  	89.6  	4  	4  	100.0  	22  	11.0  	5.5  	0  	0  	 	0  	0  	0.0  	0.0  	0  	 	1  	4  	 	0  	0  	 
 Donovan McNabb 	PHI 	4 	  	88.6  	79  	136  	58.1  	943  	235.8  	6.9  	5  	1  	 	13  	35  	8.8  	2.7  	0  	 	17  	85  	 	4  	2  	 
 Joey Harrington 	ATL 	5 	  	87.3  	105  	156  	67.3  	1070  	214.0  	6.9  	4  	3  	 	5  	13  	2.6  	2.6  	0  	 	17  	91  	 	0  	0  	 
 Philip Rivers 	SDG 	5 	  	85.8  	102  	157  	65.0  	1156  	231.2  	7.4  	7  	6  	 	9  	1  	0.2  	0.1  	1  	 	9  	77  	 	5  	3  	 
 Kyle Boller 	BAL 	3 	  	84.4  	33  	51  	64.7  	287  	95.7  	5.6  	2  	1  	 	4  	9  	3.0  	2.3  	0  	 	2  	7  	 	0  	0  	 
 Jason Campbell 	WAS 	4 	  	84.3  	67  	113  	59.3  	869  	217.3  	7.7  	4  	3  	 	16  	80  	20.0  	5.0  	0  	 	5  	27  	 	4  	1  	 
 Eli Manning 	NYG 	5 	  	82.7  	92  	157  	58.6  	1076  	215.2  	6.9  	9  	6  	 	9  	13  	2.6  	1.4  	0  	 	5  	32  	 	2  	1  	 
 Derek Anderson 	CLE 	5 	  	80.5  	83  	159  	52.2  	1251  	250.2  	7.9  	11  	8  	 	10  	17  	3.4  	1.7  	1  	 	5  	62  	 	3  	1  	 
 Steve McNair 	BAL 	4 	  	80.2  	103  	157  	65.6  	922  	230.5  	5.9  	2  	2  	 	9  	26  	6.5  	2.9  	0  	 	4  	37  	 	4  	4  	 
 Jay Cutler 	DEN 	5 	  	79.9  	98  	152  	64.5  	1158  	231.6  	7.6  	4  	6  	 	13  	33  	6.6  	2.5  	1  	 	6  	26  	 	4  	1  	 
 Brian Griese 	CHI 	2 	  	77.8  	49  	77  	63.6  	500  	250.0  	6.5  	4  	4  	 	3  	7  	3.5  	2.3  	0  	 	8  	63  	 	2  	0  	 
